Vehicle_ID,RSU_ID,Road_Segment_ID,Time_Slot,Area_Type,Road_Type,Weather_Condition,Traffic_Density_Level,Vehicle_Speed_kmph,Vehicle_Acceleration_mps2,Vehicle_Direction_Change_deg,Inter_Vehicle_Distance_m,Vehicle_Density_per_km,Queue_Length,Avg_Stop_Time_s,Roadside_Unit_Load_pct,Edge_Server_Load_pct,Available_Bandwidth_Mbps,Channel_Gain_dB,Signal_Strength_dBm,SNR_dB,Packet_Size_KB,Packet_Generation_Rate_pps,Transmission_Power_mW,Receiving_Power_mW,Idle_Power_mW,Battery_Level_pct,Energy_Consumed_mJ,Residual_Energy_mJ,Hop_Count,Link_Stability_Index,Connection_Duration_s,Handover_Count,Neighbor_Node_Count,Road_Obstruction_Flag,Line_of_Sight_Flag,Attack_Alert_Flag,Data_Sensitivity_Level,QoS_Priority_Class,Sensor_Message_Count,Traffic_Camera_Message_Count,Roadside_Event_Message_Count,Local_Computation_Load_pct,Update_Payload_Size_KB,Processing_Delay_ms,Queueing_Delay_ms,Propagation_Delay_ms,End_to_End_Latency_ms,Jitter_ms,Routing_Overhead_packets,Control_Message_Count,Packet_Loss_Rate_pct,Packet_Delivery_Ratio_pct,Throughput_Mbps,Route_Change_Count,Route_Stability_Index,Resource_Utilization_pct,Network_Lifetime_Score,Privacy_Risk_Score,Communication_Reliability_Score,Energy_Efficiency_Score,target_transmission_category
VEH_00861,RSU_0106,SEG_0210,Night,Smart_City_Zone,Straight_Road,Clear,High,42.13,-0.473,22.85,24.48,58.81,5,18.47,64.57,48.75,65.22,-47.33,-59.49,33.95,48.9,93.13,281.19,123.7,53.22,54.41,48.44,2249.213,3,0.7065,32.05,0,18,0,0,0,Medium,High_Priority,131.51,90.52,36.31,61.86,255.36,16.738,19.393,6.84,46.262,7.348,38.76,35.29,1.848,96.467,51.776,2,0.8514,64.44,50.795,45.603,74.065,22.882,Moderate_Transmission
VEH_01295,RSU_0064,SEG_0049,Morning_Peak,Highway,Tunnel,Clear,High,62.79,0.513,8.34,35.87,66.02,14,19.72,66.17,44.13,53.26,-51.03,-56.62,27.32,45.51,70.09,248.06,160.61,46.4,75.11,46.249,3223.735,3,0.6151,22.39,4,19,0,1,0,Low,Background,123.42,104.59,28.55,56.75,237.99,22.484,18.962,5.853,65.639,9.426,62.91,56.57,2.606,95.743,42.835,7,0.5657,60.07,69.737,23.827,68.137,29.258,Moderate_Transmission
VEH_01131,RSU_0102,SEG_0115,Evening_Peak,Smart_City_Zone,Intersection,Clear,Medium,39.68,1.88,14.67,52.68,41.62,7,20.37,44.76,72.78,79.93,-52.69,-43.18,26.69,49.99,50.15,216.05,108.54,51.99,55.04,46.149,2287.837,2,0.7298,37.77,0,14,0,1,0,Medium,Standard,138.3,90.02,22.73,36.83,217.53,25.614,17.949,6.747,46.606,7.977,25.94,31.65,0.1,98.929,75.056,2,0.8198,43.01,51.524,41.735,82.968,24.522,Efficient_Transmission
VEH_01096,RSU_0173,SEG_0155,Evening_Peak,Urban,Intersection,Clear,Medium,51.66,1.507,22.32,38.65,39.76,7,9.56,66.92,28.74,74.56,-62.48,-63.65,44.51,33.7,95.51,268.89,150.5,30.65,54.79,43.642,2321.573,1,0.7526,25.39,0,11,0,1,0,Medium,Standard,102.29,51.4,14.25,42.16,111.42,16.714,15.08,7.256,39.432,7.352,26.73,36.52,0.1,98.616,74.05,1,0.9189,42.47,58.146,40.098,89.646,35.003,Highly_Efficient_Secure_Transmission
VEH_01639,RSU_0106,SEG_0503,Morning_Peak,Smart_City_Zone,Curved_Road,Clear,High,44.91,1.457,20.26,25.54,54.89,8,26.59,49.32,43.46,74.74,-61.0,-66.12,33.64,11.08,79.06,243.2,181.28,27.67,61.32,37.265,2679.712,5,0.788,21.85,1,23,0,1,1,Medium,High_Priority,174.67,83.39,21.83,55.87,205.49,20.883,15.521,10.36,57.681,9.215,45.47,60.83,4.606,94.975,66.556,3,0.8715,53.13,59.942,44.51,80.138,35.333,Efficient_Transmission
VEH_02170,RSU_0210,SEG_0071,Midday,Highway,Tunnel,Cloudy,High,68.58,2.545,31.86,55.73,60.56,18,23.03,59.62,61.62,69.05,-65.02,-67.14,29.19,33.32,99.61,319.84,180.89,63.65,95.93,58.262,4058.05,9,0.5357,20.68,0,17,0,1,0,High,High_Priority,124.61,86.66,31.13,71.25,293.52,29.263,28.609,16.723,77.563,7.181,59.34,51.8,1.662,97.722,58.229,3,0.6074,66.37,81.264,61.771,64.465,31.955,Moderate_Transmission
VEH_00467,RSU_0186,SEG_0519,Midday,Highway,Straight_Road,Clear,Very_High,55.37,1.11,6.22,45.67,53.66,17,41.33,82.17,87.0,55.54,-59.15,-51.09,31.41,33.52,118.37,257.27,141.21,57.09,77.42,56.756,3276.931,4,0.616,21.1,1,24,0,0,0,Medium,High_Priority,194.72,91.72,47.73,98.0,380.22,34.561,26.997,8.944,75.293,9.997,54.63,56.46,1.75,98.668,48.422,6,0.6212,91.61,61.782,51.437,67.714,28.71,Moderate_Transmission
VEH_01239,RSU_0020,SEG_0336,Morning_Peak,Suburban,Curved_Road,Clear,Medium,63.35,1.865,27.95,51.69,43.33,11,25.03,76.51,49.67,96.59,-68.33,-74.47,26.74,52.16,71.75,270.14,121.96,69.03,89.86,38.19,3913.745,1,0.6235,20.48,2,12,0,1,0,Medium,Background,133.98,55.93,12.41,59.29,171.48,12.379,18.041,1.0,36.483,7.767,33.04,31.96,2.261,96.414,89.39,4,0.6596,61.66,81.066,43.452,74.568,43.991,Highly_Efficient_Secure_Transmission
VEH_00331,RSU_0058,SEG_0067,Morning_Peak,Urban,Flyover,Windy,High,36.06,3.295,5.46,64.42,65.43,8,17.47,57.0,36.14,60.72,-87.54,-69.56,28.77,38.89,142.44,310.54,228.56,53.54,81.3,45.283,3595.056,4,0.7789,40.05,1,14,0,1,0,Medium,Standard,149.99,97.63,12.41,50.58,156.61,19.168,22.386,10.77,53.433,11.073,26.73,44.89,6.32,93.062,53.663,2,0.8891,51.27,76.094,34.044,77.577,30.394,Efficient_Transmission
VEH_01483,RSU_0112,SEG_0493,Evening_Peak,Smart_City_Zone,Multi_Lane_Road,Foggy,High,31.74,2.418,25.49,47.52,58.26,7,7.77,68.14,67.3,85.84,-106.48,-91.65,28.17,17.72,109.34,349.09,272.51,56.58,57.22,55.204,2280.764,3,0.6581,10.64,1,19,0,1,0,Medium,Standard,158.76,65.48,8.1,73.47,275.39,25.425,26.877,9.01,60.282,11.026,29.03,29.22,1.398,96.903,81.022,1,0.8268,68.42,55.381,37.719,75.508,24.822,Moderate_Transmission
