epoch,speed,hdop
1631521503.771,8.7,0.5
1631521503.873,8.53,0.5
1631521503.975,8.37,0.5
1631521504.077,8.3,0.5
1631521504.179,8.3,0.5
1631521504.281,8.41,0.5
1631521504.383,8.35,0.5
1631521504.485,8.33,0.5
1631521504.587,8.21,0.5
1631521504.689,8.11,0.5
1631521504.791,8.0,0.5
1631521504.893,7.89,0.5
1631521504.995,7.91,0.5
1631521505.097,7.94,0.5
1631521505.199,7.75,0.5
1631521505.301,7.74,0.5
1631521505.403,7.77,0.5
1631521505.505,7.67,0.5
1631521505.607,7.66,0.5
1631521505.709,7.49,0.5
1631521505.811,7.5,0.5
1631521505.913,7.42,0.5
1631521506.014,7.24,0.5
1631521506.116,6.99,0.5
1631521506.218,7.11,0.5
1631521506.32,7.07,0.5
1631521506.422,6.99,0.5
1631521506.524,6.92,0.5
1631521506.626,6.89,0.5
1631521506.728,6.87,0.5
1631521506.83,6.77,0.5
1631521506.933,6.66,0.5
1631521507.035,6.41,0.5
1631521507.137,6.24,0.5
1631521507.238,6.24,0.5
1631521507.34,6.06,0.5
1631521507.443,5.85,0.5
1631521507.544,5.67,0.5
1631521507.645,5.61,0.5
1631521507.747,5.42,0.5
1631521507.849,5.4,0.5
1631521507.951,5.41,0.5
1631521508.053,5.19,0.5
1631521508.155,5.05,0.5
1631521508.257,4.92,0.5
1631521508.359,4.82,0.5
1631521508.461,4.54,0.5
1631521508.563,4.56,0.5
1631521508.665,4.34,0.5
1631521508.767,4.3,0.5
1631521508.869,4.2,0.5
1631521508.971,4.04,0.5
1631521509.073,3.92,0.5
1631521509.175,3.77,0.5
1631521509.277,3.68,0.5
1631521509.379,3.52,0.5
1631521509.481,3.33,0.5
1631521509.583,3.11,0.5
1631521509.685,2.8,0.5
1631521509.787,2.7,0.5
1631521509.889,2.43,0.5
1631521509.991,2.24,0.5
1631521510.093,2.1,0.5
1631521510.195,2.0,0.5
1631521510.297,1.77,0.5
1631521510.399,1.65,0.5
1631521510.501,1.4,0.5
1631521510.603,1.32,0.5
1631521510.705,1.12,0.5
1631521510.807,1.08,0.5
1631521510.909,0.92,0.5
1631521511.01,0.81,0.5
1631521511.112,0.69,0.5
1631521511.214,0.65,0.5
1631521511.316,0.48,0.5
1631521511.418,0.33,0.5
1631521511.52,0.34,0.5
1631521511.622,0.38,0.5
1631521511.724,0.09,0.5
1631521511.826,0.05,0.5
1631521511.928,0.09,0.5
1631521512.03,0.11,0.5
1631521512.133,0.02,0.5
1631521512.234,0.03,0.5
1631521512.335,0.03,0.5
1631521512.437,0.05,0.5
1631521512.538,0.02,0.5
1631521512.641,0.02,0.5
1631521512.743,0.05,0.5
1631521512.845,0.04,0.5
1631521512.947,0.01,0.5
1631521513.049,0.01,0.5
1631521513.151,0.02,0.5
1631521513.253,0.04,0.5
1631521513.355,0.02,0.5
1631521513.457,0.02,0.5
1631521513.559,0.03,0.5
1631521513.661,0.02,0.5
1631521513.763,0.02,0.5
1631521513.865,0.0,0.5
1631521513.967,0.03,0.5
1631521514.069,0.02,0.5
1631521514.171,0.03,0.5
1631521514.273,0.02,0.5
1631521514.375,0.02,0.5
1631521514.477,0.01,0.5
1631521514.579,0.02,0.5
1631521514.681,0.01,0.5
1631521514.783,0.02,0.5
1631521514.885,0.0,0.5
1631521514.987,0.03,0.5
1631521515.089,0.04,0.5
1631521515.191,0.05,0.5
1631521515.293,0.04,0.5
1631521515.395,0.02,0.5
1631521515.497,0.03,0.5
1631521515.599,0.03,0.5
1631521515.701,0.03,0.5
1631521515.803,0.04,0.5
1631521515.905,0.03,0.5
1631521516.006,0.02,0.5
1631521516.108,0.02,0.5
1631521516.21,0.02,0.5
1631521516.312,0.02,0.5
1631521516.414,0.02,0.5
1631521516.516,0.0,0.5
1631521516.618,0.02,0.5
1631521516.72,0.01,0.5
1631521516.822,0.03,0.5
1631521516.923,0.02,0.5
1631521517.024,0.04,0.5
1631521517.126,0.03,0.5
1631521517.228,0.01,0.5
1631521517.33,0.01,0.5
1631521517.433,0.02,0.5
1631521517.534,0.02,0.5
1631521517.635,0.02,0.5
1631521517.737,0.02,0.5
1631521517.839,0.02,0.5
1631521517.941,0.03,0.5
1631521518.043,0.05,0.5
1631521518.145,0.05,0.5
1631521518.247,0.04,0.5
1631521518.349,0.02,0.5
1631521518.451,0.01,0.5
1631521518.553,0.03,0.5
1631521518.655,0.0,0.5
1631521518.757,0.01,0.5
1631521518.859,0.02,0.5
1631521518.961,0.05,0.5
1631521519.063,0.02,0.5
1631521519.165,0.02,0.5
1631521519.267,0.01,0.5
1631521519.369,0.03,0.5
1631521519.471,0.03,0.5
1631521519.573,0.03,0.5
1631521519.675,0.02,0.5
1631521519.777,0.02,0.5
1631521519.879,0.01,0.5
1631521519.981,0.02,0.5
1631521520.083,0.02,0.5
